season_number,startup_name,episode_number,pitch_number,season_start,season_end,original_air_date,episode_title,anchor,industry,business_description,company_website,started_in,number_of_presenters,male_presenters,female_presenters,transgender_presenters,couple_presenters,pitchers_average_age,pitchers_city,pitchers_state,yearly_revenue,monthly_sales,gross_margin,net_margin,ebitda,cash_burn,skus,has_patents,bootstrapped,part_of_match_off,original_ask_amount,original_offered_equity,valuation_requested,received_offer,accepted_offer,total_deal_amount,total_deal_equity,total_deal_debt,debt_interest,deal_valuation,number_of_sharks_in_deal,deal_has_conditions,royalty_percentage,royalty_recouped_amount,advisory_shares_equity,namita_investment_amount,namita_investment_equity,namita_debt_amount,vineeta_investment_amount,vineeta_investment_equity,vineeta_debt_amount,anupam_investment_amount,anupam_investment_equity,anupam_debt_amount,aman_investment_amount,aman_investment_equity,aman_debt_amount,peyush_investment_amount,peyush_investment_equity,peyush_debt_amount,ritesh_investment_amount,ritesh_investment_equity,ritesh_debt_amount,amit_investment_amount,amit_investment_equity,amit_debt_amount,guest_investment_amount,guest_investment_equity,guest_debt_amount,invested_guest_name,all_guest_names,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,ritesh_present,amit_present,guest_present,deal_status,deal_count,investment_in_crores
1,Kavach,7,21,20-Dec-21,4-Feb-22,28-Dec-21,A Never Give Up Spirit,Rannvijay Singh,Children/Education,Report bullying incidents,https://antibullyingsquad.com/,2018.0,2,1.0,1.0,,0.0,,Gurgaon,Haryana,,,,,,,,,,,5.0,10.0,50.0,1,1.0,5.0,10.0,,,50.0,2.0,,,,,,,,,,,2.5,5.0,,2.5,5.0,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,0.05
1,LaKheerDeli,7,22,20-Dec-21,4-Feb-22,28-Dec-21,A Never Give Up Spirit,Rannvijay Singh,Food And Beverage,Kheer in variety of flavors,https://lakheerdeli.com/,2018.0,3,1.0,2.0,,0.0,,Pune,Maharashtra,,6.0,,,,,9.0,,,,50.0,7.5,667.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,No Deal,0,
1,BeyondSnack,8,23,20-Dec-21,4-Feb-22,29-Dec-21,Shark Ko Impress Karne Wale Ideas,Rannvijay Singh,Food And Beverage,Kerala Banana Chips,https://www.beyondsnack.in/,2020.0,1,1.0,,,0.0,,Thiruvananthapuram,Kerala,60.0,20.6,51.0,,,,,,,,50.0,2.5,2000.0,1,1.0,50.0,2.5,,,2000.0,2.0,,,,,,,,,,,,,,25.0,1.25,,,,,,,,,,,25.0,1.25,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.5
1,VivalyfInnovations,8,24,20-Dec-21,4-Feb-22,29-Dec-21,Shark Ko Impress Karne Wale Ideas,Rannvijay Singh,Medical/Health,Easy Life Prickless Diabetes Testing Machine,https://vivalyf.in/,2021.0,2,1.0,1.0,,0.0,,Hyderabad,Telangana,0.0,,,,,,,,,,56.0,7.5,747.0,1,1.0,56.0,33.33,,,168.0,2.0,,,,,,,,,,,28.0,16.66,,,,,28.0,16.66,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.56
1,MotionBreeze,8,25,20-Dec-21,4-Feb-22,29-Dec-21,Shark Ko Impress Karne Wale Ideas,Rannvijay Singh,Vehicles/Electrical Vehicles,Smart Electric Motorcycle,https://www.motionautomotive.in/,2018.0,4,4.0,,,0.0,,Vadodara,Gujarat,0.0,,,,,,,yes,,,30.0,3.0,1000.0,1,1.0,30.0,6.0,,,500.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,6.0,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.3
1,Altor,9,26,20-Dec-21,4-Feb-22,30-Dec-21,Defining Innovations,Rannvijay Singh,Manufacturing,Smart Helmets,https://www.altorsmarthelmet.com/,2019.0,4,4.0,,,0.0,,Kolkata,West Bengal,,,,,,,,,,,50.0,5.0,1000.0,1,1.0,50.0,7.0,,,714.0,2.0,,,,,25.0,3.5,,,,,,,,25.0,3.5,,,,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.5
1,Ariro,9,27,20-Dec-21,4-Feb-22,30-Dec-21,Defining Innovations,Rannvijay Singh,Manufacturing,Wooden Toys,https://arirotoys.com/,2020.0,2,1.0,1.0,,1.0,,Chennai,Tamil Nadu,300.0,25.0,50.0,,,,,,,,50.0,2.5,2000.0,1,1.0,50.0,10.0,,,500.0,2.0,,,,,,,,,,,,,,25.0,5.0,,25.0,5.0,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.5
1,KabiraHandmad,9,28,20-Dec-21,4-Feb-22,30-Dec-21,Defining Innovations,Rannvijay Singh,Food And Beverage,Healthy Edible Oils dairy products spices flour,https://www.kabirafoods.com/,1998.0,2,1.0,1.0,,1.0,,Jaipur,Rajasthan,,160.0,3.0,1.0,,,,,,,100.0,5.0,2000.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,No Deal,0,
1,Nuutjob,10,29,20-Dec-21,4-Feb-22,31-Dec-21,Passion About Entrepreneurship,Rannvijay Singh,Beauty/Fashion,Male Intimate Hygiene deo spray,https://nuutjob.com/,2021.0,2,,2.0,,0.0,,Ahmedabad,Gujarat,,0.002,70.0,,,,,,,,25.0,5.0,500.0,1,1.0,25.0,20.0,,,125.0,3.0,,,,,8.33,6.66,,,,,,,,8.33,6.66,,8.33,6.66,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.25
1,Meatyour,10,30,20-Dec-21,4-Feb-22,31-Dec-21,Passion About Entrepreneurship,Rannvijay Singh,Food And Beverage,Eggs,https://meatyour.com/,2020.0,3,3.0,,,0.0,,Pune,Maharashtra,130.0,2.8,30.0,,,,,,,,30.0,5.0,600.0,1,1.0,30.0,20.0,,,150.0,3.0,yes,,,,,,,,,,10.0,6.66,,10.0,6.66,,10.0,6.66,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.3
1,EventBeep,10,31,20-Dec-21,4-Feb-22,31-Dec-21,Passion About Entrepreneurship,Rannvijay Singh,Children/Education,Student Community App EdTech,https://www.eventbeep.com/,2019.0,3,2.0,1.0,,0.0,,Pune,Maharashtra,120.0,,,,,,,,,,30.0,2.0,1500.0,1,1.0,30.0,3.0,,,1000.0,3.0,,,,,,,,,,,,,,10.0,1.0,,10.0,1.0,,,,,,,,10.0,1.0,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.3
1,Gopal's56,11,32,20-Dec-21,4-Feb-22,3-Jan-22,Investment Paane Ka Sapna,Rannvijay Singh,Food And Beverage,Fiber Ice Cream,https://www.gopals56.in/,2014.0,1,1.0,,,0.0,,Delhi,Delhi,80.0,33.0,21.0,,,,,,,,30000.0,25.0,120000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,No Deal,0,
1,ARRCOATSurfaceTextures,11,33,20-Dec-21,4-Feb-22,3-Jan-22,Investment Paane Ka Sapna,Rannvijay Singh,Manufacturing,Wall Building Surface Textures,https://www.arrcoat.com/,2019.0,3,3.0,,,0.0,,Delhi,Delhi,,6.0,,20.0,,,,,,,50.0,5.0,1000.0,1,1.0,50.0,15.0,,,333.0,1.0,yes,,,,,,,,,,50.0,15.0,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.5
1,Farda,11,34,20-Dec-21,4-Feb-22,3-Jan-22,Investment Paane Ka Sapna,Rannvijay Singh,Beauty/Fashion,Customised Streetwear,https://fardaclothing.com/,2021.0,2,1.0,1.0,,0.0,,Nagpur,Maharashtra,,0.32,115.0,,,,,,,,30.0,10.0,300.0,1,1.0,30.0,20.0,,,150.0,2.0,,,,,15.0,10.0,,,,,,,,15.0,10.0,,,,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.3
1,Auli,12,35,20-Dec-21,4-Feb-22,4-Jan-22,Ek Idea Aur Uske Do Sides,Rannvijay Singh,Beauty/Fashion,Ayurvedic Products Skincare Lifestyle,https://aulilifestyle.com/,2017.0,1,,1.0,,0.0,,Kolkata,West Bengal,250.0,16.0,80.0,10.0,,,,,,,75.0,4.0,1875.0,1,1.0,75.0,15.0,,,500.0,1.0,,,,,75.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.75
1,SweeDesi,12,36,20-Dec-21,4-Feb-22,4-Jan-22,Ek Idea Aur Uske Do Sides,Rannvijay Singh,Food And Beverage,Indian Sweets Online,https://www.sweedesi.com/,2018.0,2,1.0,1.0,,1.0,,Pune,Maharashtra,,,,,,,,,,,40.0,3.0,1333.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,No Deal,0,
1,LOKA,12,37,20-Dec-21,4-Feb-22,4-Jan-22,Ek Idea Aur Uske Do Sides,Rannvijay Singh,Technology/Software,Metaverse App,https://www.lokaworld.app/,2020.0,1,1.0,,,0.0,,Delhi,Delhi,,,,,,,,,,,40.0,5.0,800.0,1,1.0,40.0,24.0,,,167.0,3.0,,,,,,,,,,,13.33,8.0,,13.33,8.0,,13.33,8.0,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.4
1,Annie,13,38,20-Dec-21,4-Feb-22,5-Jan-22,Ideas By Young Entrepreneurs,Rannvijay Singh,Children/Education,Thinkerbell labs Braille Literary Device,https://www.thinkerbelllabs.com/annie,2016.0,4,3.0,1.0,,1.0,,Bangalore,Karnataka,500.0,4.0,50.0,,,,,,,,30.0,0.5,6000.0,1,1.0,105.0,3.0,,,3500.0,3.0,,,,,35.0,1.0,,,,,35.0,1.0,,,,,35.0,1.0,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,1.05
1,Carragreen,13,39,20-Dec-21,4-Feb-22,5-Jan-22,Ideas By Young Entrepreneurs,Rannvijay Singh,Green/Cleantech,Eco-Friendly boxes,https://carragreen.com/,2018.0,2,,2.0,,0.0,,Indore,Madhya Pradesh,,,,,,,,yes,,,50.0,10.0,500.0,1,1.0,50.0,20.0,,,250.0,2.0,,,,,,,,,,,25.0,10.0,,,,,25.0,10.0,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.5
1,TheYarnBazaar,13,40,20-Dec-21,4-Feb-22,5-Jan-22,Ideas By Young Entrepreneurs,Rannvijay Singh,Manufacturing,Yarn-Trading App Online Marketplace for Yarn,https://theyarnbazaar.com/,2019.0,1,1.0,,,0.0,,Mumbai,Maharashtra,180.0,,,,,,,,,,50.0,2.0,2500.0,1,1.0,100.0,10.0,,,1000.0,4.0,,,,,,,,,,,25.0,2.5,,25.0,2.5,,25.0,2.5,,,,,,,,25.0,2.5,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,1.0
1,TheRenalProject,14,41,20-Dec-21,4-Feb-22,6-Jan-22,Naye Aur Nayab Pitchers,Rannvijay Singh,Medical/Health,Home Dialysis Treatment,https://www.therenalproject.com/,2019.0,1,1.0,,,0.0,,Mumbai,Maharashtra,300.0,,,,,,,,,,100.0,3.0,3333.0,1,1.0,100.0,6.0,,,1667.0,2.0,,,,,50.0,3.0,,,,,,,,50.0,3.0,,,,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,1.0
1,MorrikoPureFoods,14,42,20-Dec-21,4-Feb-22,6-Jan-22,Naye Aur Nayab Pitchers,Rannvijay Singh,Food And Beverage,Healthy Food Snacks Kamdhenu foods,https://morrikopurefoods.com/,2018.0,3,2.0,1.0,,0.0,,Valsad,Gujarat,,16.0,,,,,,,,,100.0,3.0,3333.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,No Deal,0,
1,GoodGoodPiggy,14,43,20-Dec-21,4-Feb-22,6-Jan-22,Naye Aur Nayab Pitchers,Rannvijay Singh,Technology/Software,Digital Piggy Bank,https://goodgoodpiggy.com/,2021.0,2,,2.0,,0.0,,Delhi,Delhi,0.0,,,,,,,,,,45.0,5.0,900.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,No Deal,0,
1,HammerLifestyle,15,44,20-Dec-21,4-Feb-22,7-Jan-22,It's Time To Change,Rannvijay Singh,Electronics,Smart Audio Products,https://hammeronline.in/,2019.0,3,3.0,,,0.0,,Panipat,Haryana,1000.0,,,,,,14.0,,,,30.0,3.0,1000.0,1,1.0,100.0,40.0,,,250.0,1.0,,,,,,,,,,,,,,100.0,40.0,,,,,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,1.0
1,PNTRobotics,15,45,20-Dec-21,4-Feb-22,7-Jan-22,It's Time To Change,Rannvijay Singh,Technology/Software,Robotics and Automation Solutions,https://pntsolutions.in/,2021.0,2,2.0,,,0.0,,Mumbai,Maharashtra,,,,,,,,,,,50.0,4.0,1250.0,1,1.0,25.0,25.0,25.0,,100.0,1.0,yes,,,,,,,,,,,,,,,,25.0,25.0,25.0,,,,,,,,,,,Ashneer Grover,1.0,,1.0,1.0,1.0,,,1.0,Deal,1,0.25
